roomType,category,title,price,currency,retailer,affiliateUrl,productUrl,imageUrl,width,depth,height,dimensionUnit,color,material,styleTags,visualDescription,notes
living_room,accent_chair,"DUMOS Mid Century Modern Accent Chair, Upholstered Armchair with Lumbar Pillow and Solid Wood Frame, Comfy Reading Chair for Small Living Room, Bedroom, Guest Room, Navy Blue",76.97,USD,Amazon / DUMOS,https://www.amazon.com/dp/B0GTZ6JFQ9?tag=20260409-20,https://www.amazon.com/dp/B0GTZ6JFQ9,https://m.media-amazon.com/images/I/814GevLMtVL._AC_SL1500_.jpg,22.23,29.9,28.7,in,Navy Blue,Wood,modern;scandinavian;cozy,"A Navy Blue rectangular accent chair made with Wood matching this product title: DUMOS Mid Century Modern Accent Chair, Upholstered Armchair with Lumbar Pillow and Solid Wood Frame, Comfy Reading Chair for Small Living Room, Bedroom, Guest Room, Navy Blue.  Key detail: 【Ergonomic Comfort & Lumbar Support】With a 105° backrest, this accent chair follows the spine’s curve. The lumbar pillow and 6.7"" foam cushion provide support and reduce discomfort",ASIN: B0GTZ6JFQ9; Stock: In Stock; Reviews: 75; Rating: 4.1
living_room,accent_chair,"COLAMY Modern Accent Chair with with Solid Wood Frame, Mid Century Reading Leisure Armchair Lumbar Pillow& Soft Cushion, Relaxing Chair for Living Room,Bedroom,Waiting Room（Beige）",129.99,USD,Amazon / COLAMY,https://www.amazon.com/dp/B0FZJBZ8M6?tag=20260409-20,https://www.amazon.com/dp/B0FZJBZ8M6,https://m.media-amazon.com/images/I/81yo4jKWmsL._AC_SL1500_.jpg,29.92,33.39,25.59,in,Beige,Nylon,modern;minimalist;cozy,"A Beige rectangular accent chair made with Nylon matching this product title: COLAMY Modern Accent Chair with with Solid Wood Frame, Mid Century Reading Leisure Armchair Lumbar Pillow& Soft Cushion, Relaxing Chair for Living Room,Bedroom,Waiting Room（Beige）.  Key detail: 【Versatile Style & Comfort for Any Space】:Our Accent Chair combines style and function, designed to add a touch of elegance to rooms. With its unique silhouette, sofa cushion, and ",ASIN: B0FZJBZ8M6; Stock: Only 1 left in stock - order soon.; Reviews: 186; Rating: 4.2
living_room,accent_chair,"Weture Mid-Century Accent Chair,Modern Linen Fabric Armchair for Living Room,Comfy Upholstered Reading Accent Chairs for Bedroom,Single Sofa Chair with Wood Legs (Dark Grey, 1 Pack)",99.98,USD,Amazon / Weture,https://www.amazon.com/dp/B0CRSMJ36H?tag=20260409-20,https://www.amazon.com/dp/B0CRSMJ36H,https://m.media-amazon.com/images/I/81SI8mdHQbL._AC_SL1500_.jpg,30,33.9,32.3,in,Dark Grey,Wood,modern;minimalist;cozy,"A Dark Grey rectangular accent chair made with Wood with Wood finish matching this product title: Weture Mid-Century Accent Chair,Modern Linen Fabric Armchair for Living Room,Comfy Upholstered Reading Accent Chairs for Bedroom,Single Sofa Chair with Wood Legs (Dark Grey, 1 Pack).  Key detail: MID-CENTURY MODERN ELEGANCE:Step into the world of timeless sophistication with our mid-century modern accent chair.Its sleek,minimalist design boasts fluid lines and a chic simpli",ASIN: B0CRSMJ36H; Stock: In Stock; Reviews: 1093; Rating: 4.1
living_room,accent_chair,"DUMOS Mid Century Modern Accent Chair, Upholstered Armchair with Lumbar Pillow and Solid Wood Frame, Comfy Reading Chair for Small Living Room, Bedroom, Guest Room, Beige",76.57,USD,Amazon / DUMOS,https://www.amazon.com/dp/B0GTZD6GYV?tag=20260409-20,https://www.amazon.com/dp/B0GTZD6GYV,https://m.media-amazon.com/images/I/715UvStFC2L._AC_SL1500_.jpg,22.23,29.9,28.7,in,Beige,Wood,modern;scandinavian;cozy,"A Beige rectangular accent chair made with Wood matching this product title: DUMOS Mid Century Modern Accent Chair, Upholstered Armchair with Lumbar Pillow and Solid Wood Frame, Comfy Reading Chair for Small Living Room, Bedroom, Guest Room, Beige.  Key detail: 【Ergonomic Comfort & Lumbar Support】With a 105° backrest, this accent chair follows the spine’s curve. The lumbar pillow and 6.7"" foam cushion provide support and reduce discomfort",ASIN: B0GTZD6GYV; Stock: In Stock  Only 1 left in stock - order soon.; Reviews: 75; Rating: 4.1
living_room,accent_chair,"Lexicon Modern Accent Chair, Faux Leather Upholstered Living Room Chair with Wrapped Armrests, Arm Chair with Black Metal Frame, Comfy Single Chair for Living Room/Bedroom/Reading Room/Office, Brown",114.45,USD,Amazon / Lexicon,https://www.amazon.com/dp/B0DM8Q42NQ?tag=20260409-20,https://www.amazon.com/dp/B0DM8Q42NQ,https://m.media-amazon.com/images/I/81Y80O9dKAL._AC_SL1500_.jpg,24.5,28.5,33,in,Brown,"Faux Leather, Foam, Metal, Wood",modern;cozy,"A Brown rectangular accent chair made with Faux Leather, Foam, Metal, Wood with Metal finish matching this product title: Lexicon Modern Accent Chair, Faux Leather Upholstered Living Room Chair with Wrapped Armrests, Arm Chair with Black Metal Frame, Comfy Single Chair for Living Room/Bedroom/Reading Room/Office, Brown.  Key detail: [Mid-Century & Simple Style] This stylish accent chair features an exposed metal frame in a sleek black finish, adding a contemporary edge to any room. Upholstered in brown faux le",ASIN: B0DM8Q42NQ; Stock: In Stock  Only 1 left in stock - order soon.; Reviews: 50; Rating: 4.7
living_room,accent_chair,"Howjoe Chenille Oversized Armchair, 38.6"" Wide Accent Chairs for Living Room & Bedroom Modern Lounge Chair, Upholstered Mid-Century Reading Chair, Comfy Living Room Chair, Single Sofa Chair, Beige",99.99,USD,Amazon / Howjoe,https://www.amazon.com/dp/B0DLGBQ15K?tag=20260409-20,https://www.amazon.com/dp/B0DLGBQ15K,https://m.media-amazon.com/images/I/91JBuOlpryL._AC_SL1500_.jpg,33.07,38.58,34.25,in,Beige,Chenille,modern;cozy,"A Beige l-shape accent chair made with Chenille matching this product title: Howjoe Chenille Oversized Armchair, 38.6"" Wide Accent Chairs for Living Room & Bedroom Modern Lounge Chair, Upholstered Mid-Century Reading Chair, Comfy Living Room Chair, Single Sofa Chair, Beige.  Key detail: Modern Oversized Accent Chair: This comfy reading chair features a sleek, contemporary design with an arched backrest and curved armrests. Its clean lines and elegant shape blend s",ASIN: B0DLGBQ15K; Stock: In Stock; Reviews: 462; Rating: 4.2
living_room,accent_chair,"Lexicon 360 Degree Swivel Accent Chair, Modern Comfy Velvet Round Barrel Chair, Open Back, Plush Foam Cushions, Metal Swivel Base for Living Room/Bedroom/Office/Small Spaces, Orange",179.16,USD,Amazon / Lexicon,https://www.amazon.com/dp/B0DWM933YC?tag=20260409-20,https://www.amazon.com/dp/B0DWM933YC,https://m.media-amazon.com/images/I/916v3Sbp6VL._AC_SL1500_.jpg,27,26,28,in,Orange,"Foam, Metal, Velvet, Wood",modern;cozy,"A Orange rectangular accent chair made with Foam, Metal, Velvet, Wood with Velvet finish matching this product title: Lexicon 360 Degree Swivel Accent Chair, Modern Comfy Velvet Round Barrel Chair, Open Back, Plush Foam Cushions, Metal Swivel Base for Living Room/Bedroom/Office/Small Spaces, Orange.  Key detail: Fabric Composition: 100% Polyester",ASIN: B0DWM933YC; Stock: In Stock; Reviews: 69; Rating: 4.7
living_room,accent_chair,"Mid Century Modern Accent Chair, Button Tufted Armless Lounge Chair, Upholstered Linen Side Chair with Solid Wood Legs for Bedroom, Living Room, Office",149.99,USD,Amazon / Yongqiang,https://www.amazon.com/dp/B08DWS5K4Y?tag=20260409-20,https://www.amazon.com/dp/B08DWS5K4Y,https://m.media-amazon.com/images/I/81KbMrdEb6L._AC_SL1500_.jpg,25,37.5,32.5,in,Cream,"Wood, Linen Fabric, Sponge",modern;cozy,"A Cream l-shape accent chair made with Wood, Linen Fabric, Sponge with Wood finish matching this product title: Mid Century Modern Accent Chair, Button Tufted Armless Lounge Chair, Upholstered Linen Side Chair with Solid Wood Legs for Bedroom, Living Room, Office.  Key detail: Stylish Mid-Century Modern Design: This armless slipper chair features clean lines, button tufting on the curved back and black solid wood legs, blending effortlessly with bedroom,",ASIN: B08DWS5K4Y; Stock: In Stock; Reviews: 1764; Rating: 4.4
living_room,accent_chair,"Bonnlo Fine Beige Accent Chairs Set of 2, Upholstered Mid Century Modern Lounge Fabric Chairs Reading Chairs Side Sitting Chair Solid Wood Farmhouse Armchairs for Living Room, Bedroom, Guest Room",209.99,USD,Amazon / Bonnlo,https://www.amazon.com/dp/B0BN3FGP5X?tag=20260409-20,https://www.amazon.com/dp/B0BN3FGP5X,https://m.media-amazon.com/images/I/71Fmeca7skL._AC_SL1500_.jpg,32.3,25.6,22,in,Fine Linen-beige,Linen,modern;farmhouse;cozy,"A Fine Linen-beige l-shape accent chair made with Linen with Wood finish matching this product title: Bonnlo Fine Beige Accent Chairs Set of 2, Upholstered Mid Century Modern Lounge Fabric Chairs Reading Chairs Side Sitting Chair Solid Wood Farmhouse Armchairs for Living Room, Bedroom, Guest Room.  Key detail: 【Dimension Quick Look】Over Dimension: 25.6""W*32.3""D*29.5H; Seat Dimension: 23.6""W*20.5""D*17.3""H; Cushion Thickness: 5.5""; Maximum Weight Capacity: 330lbs.",ASIN: B0BN3FGP5X; Stock: In Stock; Reviews: 280; Rating: 4.4
living_room,accent_chair,"Mid Century Modern Accent Chair, Upholstered Armless Lounge Chair with Wooden Frame and Thick Padded Seat for Living Room, Bedroom,Moss Green",189,USD,Amazon / KISLOT,https://www.amazon.com/dp/B0GWQBWSZH?tag=20260409-20,https://www.amazon.com/dp/B0GWQBWSZH,https://m.media-amazon.com/images/I/81TWE-rw+NL._AC_SL1500_.jpg,33.07,32.68,32.68,in,Moss Green,Wood,modern;minimalist;scandinavian;cozy,"A Moss Green l-shape accent chair made with Wood matching this product title: Mid Century Modern Accent Chair, Upholstered Armless Lounge Chair with Wooden Frame and Thick Padded Seat for Living Room, Bedroom,Moss Green.  Key detail: 𝗔𝗿𝗺𝗹𝗲𝘀𝘀 𝗟𝗼𝘂𝗻𝗴𝗲 𝗖𝗵𝗮𝗶𝗿 – 𝗦𝗹𝗲𝗲𝗸 & 𝗠𝗶𝗻𝗶𝗺𝗮𝗹𝗶𝘀𝘁 𝗗𝗲𝘀𝗶𝗴𝗻:With a clean, contemporary look, this accent chair blends effortlessly into modern or transi",ASIN: B0GWQBWSZH; Stock: In Stock; Reviews: 20; Rating: 4.8
